grant_year,grantee_name,grant_amount,grantee_location,grant_purpose,grantee_url,grantee_logo_path,grantor_program
2013-2014,A Red Orchid Theatre ,3500,"Chicago, IL ",Zinnie Harris' Solstice ,,,
2013-2014,Ars Viva ,5000,"Libertyville, IL ",1217/14 concert,,,
2013-2014,Ars Viva ,1000,"libertyville, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,Art Institute of Chicago ,100000,"Chicago, IL ",first of three installments Textile Digitization ,,,
2013-2014,Art Institute of Chicago ,4000,"Chicago, IL ",Textile Department Acquisition Fund ,,,
2013-2014,Art Institute of Chicago ,10000,"Chicago, IL ",Directors Discrellonary or Matching Grant ,,,
2013-2014,Art Institute of Chicago ,5000,"Chicago, IL ",Library Acquisillons ,,,
2013-2014,Art Institute of Chicago ,2500,"Chicago, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,Bach Week ,5000,"Evanston, IL ",SIX Brandenburg Concerti ,,,
2013-2014,Bella Voce ,4000,"Chicago, IL ",Bella Voce Consort ,,,
2013-2014,Brown University ,5000,"Providence, RI ",Directors Discretionary or Matching Grant ,,,
2013-2014,Cedille Chicago ,5000,"Chicago, IL ",Jennifer Koh:Bach and Beyond Part 2,,,
2013-2014,Chicago a capella ,4000,"Chicago, IL ",Feb. 2014 concert,,,
2013-2014,Chicago Chamber MusiCians ,2000,"Chicago, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,Chicago Chamber Musicians ,10000,"Chicago, IL ",Signature Series ,,,
2013-2014,Chicago Chorale ,4000,"Chicago, IL ","Bach SI. Matthew Passion, Mozart Mass ",,,
2013-2014,Chicago Community Foundation ,5000,"Chicago, IL ",Arts Work Fund ,,,
2013-2014,Chicago DanCing Company ,15000,"Chicago, IL ",Festival 2014 -Visiting dance companies,,,
2013-2014,Chicago Human Rhythm Prolect ,3000,"Chicago, IL ",Jazz showcase ,,,
2013-2014,Chicago Humanilles Festival ,5000,"Chicago, IL ",Cry of Nature ,,,
2013-2014,Chicago Opera Theatre ,10000,"Chicago, IL ",Bloch's Macbeth In September 2014,,,
2013-2014,Chicago PhilharmOniC ,5000,"Evanston, IL ",4/19/15 concert,,,
2013-2014,Chicago Philharmonic ,2500,"Evanston, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,Chicago Shakespeare Theater ,20000,"Chicago, IL ",Henry V ,,,
2013-2014,Chicago Slnfonletta ,5000,"Chicago, IL ",concert support 2014-2015 season,,,
2013-2014,Chicago Symphony Orchestra ,100000,"Chicago, IL ",Civic Orchestra ArtistiC Challenge ,,,
2013-2014,Chicago Symphony Orchestra ,6900,"Chicago, IL ",Directors Dlscrellonary or Matching Grant ,,,
2013-2014,Chicago Symphony Orchestra ,10000,"Chicago, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,Chicago Symphony Orchestra ,5000,"Chicago, IL ",Directors Discrellonary or Matching Grant ,,,
2013-2014,Chicago Symphony Orchestra ,10000,"Chicago, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,City lit Theatre ,5000,"Chicago, IL ",The Tempest -Shakespeare ,,,
2013-2014,CiVitas Ensemble,4000,"Chicag, IL",Directors Discretionary or Matching Grant,,,
2013-2014,Columbia College,1000,"Chicag, IL",Discretionary or Matching Grant,,,
2013-2014,Court Theatre ,20000,"Chicago, IL ",M. Butterfly ,,,
2013-2014,"DanceWorks Chicago, Inc. ",3000,"Chicago, IL ",Flight project ,,,
2013-2014,Dempster Street Pro Musica ,2000,"Evanston, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,Dempster Street Pro Muslca ,5000,"Evanston, IL ",The Bntlsh are Coming 5/3/15,,,
2013-2014,DePaul University School of Music ,5000,"Chicago, IL ",Mozart's Grand Partlta performance ,,,
2013-2014,Donor's Forum ,1256,"Chicago, IL ",Unrestricted grant ,,,
2013-2014,Eastman House Museum ,2000,"Rochester, NY ",Directors Discretionary or Matching Grant ,,,
2013-2014,eigth blackbird pertorming arts ,4000,"Chicago, IL ",2014-15 Chicago Series,,,
2013-2014,Ensemble Espanol ,3000,"Chicago, IL ",Ron de Jesus new work ,,,
2013-2014,Evanston Community Foundation ,1000,"Evanston, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,Evanston Historical Society ,3000,"Evanston, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,Fifth House Ensemble ,4000,"Chicago, IL ",Joumey Premier Spring 2015,,,
2013-2014,Fractured Atlas ,1000,"New York, NY ",Directors Discretionary or Matching Grant ,,,
2013-2014,Fulcrum Point New MusIc Project ,4000,"Chicago, IL ",East Meet West Project November 2014,,,
2013-2014,Genesee Country Museum ,3500,"Mumford, NY ",Directors Discretionary or Matching Grant ,,,
2013-2014,Giordano Dance Chicago ,5000,"Chicago, IL ",Ekman new work March 2014,,,
2013-2014,Goodman Theatre ,50000,"Chicago, IL ",New Play Development ,,,
2013-2014,Goodman Theatre ,1000,"Chicago, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,Grant Park MusIc Festival ,20000,"Chicago, IL ",Bolcolm commission and related residency ,,,
